"ID","NAME","UNIQUE_NAME","GAMETIME","TIMEZONE","STDTIME","HOWTOPLAY","PLAY_TYPE","TOP_PRIZE","TOP_PRIZE_ODDS","PRIZE_ROLLOVER","PRIZE_PERI_MUTUAL","INFO_URL","INFO","IS_MULTI_STATE","IS_MULTI_COUNTRY","Status","PRIZE_MATRIX","isCardGame","NUM_OF_BALLS","DIS_GAME_TYPE","TINBU_GAME_ID","isJackpot","isPayout","HIGHEST_JACKPOT","HIGHEST_JACKPOT_DATE","TICKET_PRICE","ADVANCED_PLAYS","CUTOFFTIME"
301,Pick 3,Arizona-Pick 3,"08:00 PM",US/Arizona,"11:00 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,"1 in 1000",F,F,https://lottery.az.gov/pick-3,<h4>Arizona Pick 3 ticket price and top prize</h4> <p>For $1 bet you can win up to $500</p> <p>For 50 cents bet you can win up to $250.</p> <h4>How to play Arizona Pick 3</h4> <p>Select any three digits and mark them on the selection slip. Pick three-digit (000 through 999).</p> <p>Now select the way you want to play with selected digits. The selected play type determines the prize amount:</p> <p> <strong>Straight:&nbsp;</strong>Three numbers in exact order drawn </p> <p> <strong>Box: &nbsp;</strong>Three numbers in any order. You have two options: </p> <ol> <li>3-Way &ndash; Two of your three numbers are the same</li> <li>6-Way &ndash; Three different numbers are selected</li> </ol> <p> <strong>Straight/Box: &nbsp;</strong>Three numbers in exact or any order </p> <p> <strong>Front Pair: &nbsp;</strong>First two numbers in exact order drawn </p> <p> <strong>Back Pair:&nbsp;</strong>&nbsp;Last two numbers in exact order drawn </p> <p>You can play same numbers for up to 12 consecutive drawing dates on the same ticket.</p>  <h4>Arizona Pick 3 drawing schedule</h4> <p> 8:00 PM (Arizona time) from the first Sunday in November to the second Saturday in March.<br /> 7:00 PM( Arizona Time) from the second Sunday in March to the first Saturday in November. </p>,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th > PLAY TYPE </th> <th> ODDS </th> <th> 2 PLAY PRIZE </th> <th> 1 PLAY PRIZE </th> </tr> </thead> <tbody> <tr> <td> Straight (Exact) </td> <td> 1 in 1,000 </td> <td> $250 </td> <td> $500 </td> </tr> <tr> <td> Box Any (3-way)&nbsp;&nbsp; </td> <td> 1 in 333 </td> <td> $80 </td> <td> $160 </td> </tr> <tr> <td> Box Any (6-way) </td> <td> 1 in 167 </td> <td> $40 </td> <td> $80 </td> </tr> <tr> <td> Straight/Box 3-way (Straight) </td> <td> 1 in 1,000 </td> <td> $165 </td> <td> $330 </td> </tr> <tr> <td> Straight/Box 3-way (Box) </td> <td> 1 in 333 </td> <td> $40 </td> <td> $80 </td> </tr> <tr> <td> Straight/Box 6-way (Straight) </td> <td> 1 in 1,000 </td> <td> $145 </td> <td> $290 </td> </tr> <tr> <td> Straight/Box 6-way (Box) </td> <td> 1 in 167 </td> <td> $20 </td> <td> $40 </td> </tr> <tr> <td> Front Pair </td> <td> 1 in 100 </td> <td> $25 </td> <td> $50 </td> </tr> <tr> <td> Back Pair </td> <td> 1 in 100 </td> <td> $25 </td> <td> $50 </td> </tr> </tbody> </table>",F,"3","3-Digits",AZA,F,F,,,"1$",upto 12 consecutive draws,"1 hour prior to draw time"
302,Weekly Winnings,Arizona-Weekly Winnings,"7:00 PM",US/Arizona,"10:00 PM",Choose any 4 numbers between 1 to 50,"6/53",,"1 in 230,300",F,F,https://lottery.az.gov/weekly-winnings,,F,F,Ignore,,F,"6+1","6/53 + XTRA",,F,F,,,,,
303,Fantasy 5,Arizona-Fantasy 5,"08:00 PM",US/Arizona,"11:00 PM",Choose any 5 numbers 1 through 41,"5/41",,"1 in 749,398",T,F,https://lottery.az.gov/fantasy-5,,F,F,Active,"<table class=""table table-bordered""<thead><tr class=""result-table-heading""><th><strong>Matching Numbers</strong></th><th><strong>Fantacy 5 Prizes</strong><strong>s</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td><p>5 match</p></td><td><p>Jackpot*</p></td><td><p>1 in 749,398</p></td></tr><tr><td><p>4 match</p></td><td><p>$500</p></td><td><p>1 in 4,163</p></td></tr><tr><td><p>3 match</p></td><td><p>$5</p></td><td><p>1 in 119</p></td></tr><tr><td><p>2 match</p></td><td><p>$1</p></td><td><p>1 in 11</p></td></tr><tr><td colspan=""3""><p>The overall odds of winning a cash prize are approximately 1 in 9.62.</p></td></tr></tbody></table>",F,"5","5/41",AZ2,T,F,,,"1$",upto 12 consecutive draws,"1 hour prior to draw time"
304,Arizona 2by2,Arizona-Arizona 2by2,"7:00 PM",US/Arizona,"10:00 PM","Choose 2 Red numbers 1 through 26, and 2 White numbers also 1 through 26.","6/53",,"1 in 105,625",F,F,https://lottery.az.gov/2by2,,F,F,Ignore,,F,"6+1","6/53 + XTRA",,F,F,,,,,
305,The Pick,Arizona-The Pick,"08:00 PM",US/Arizona,"11:00 PM",Choose 6 numbers 1 through 44,"6/44",,"1 in 7,059,052",T,F,https://lottery.az.gov/pick,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matching Numbers</strong></th><th><strong>The Pick Prizes</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td><p>5 match</p></td><td><p>Jackpot*</p></td><td><p>1 in 7,059,052</p></td></tr><tr><td><p>4 match</p></td><td><p>$2000</p></td><td><p>1 in 30,961</p></td></tr><tr><td><p>3 match</p></td><td><p>$50</p></td><td><p>1 in 669</p></td></tr><tr><td><p>2 match</p></td><td><p>$3</p></td><td><p>1 in 42</p></td></tr><tr><td colspan=""3""><p>The overall odds of winning a cash prize are approximately 1 in 39</p></td></tr></tbody></table>",F,"6","6/44 ",AZ3,T,F,,,"1$",upto 10 consecutive draws,"Mon, Wed and Sat, 1 hour prior to draw time"
306,Cash 3 Midday,Arkansas-Cash 3 Midday,"12:59 PM",US/Central,"01:59 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,"1 in 1,000",F,F,http://myarkansaslottery.com/cash-3,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> WAYS TO PLAY </th> <th> EXAMPLES </th> <th> ODDS OF WINNING </th> <th> WIN FOR $0.50 PLAY </th> <th> WIN FOR $1.00 PLAY </th> </tr> </thead> <tbody> <tr> <td> STRAIGHT<br /> exact order </td> <td> PLAY 123&nbsp;<br /> 123 WINS </td> <td> 1 in 1,000 </td> <td> $250 </td> <td> $500 </td> </tr> <tr> <td> 3-WAY BOX&nbsp;<br /> any order, 3 ways to win&nbsp;<br /> (Two numbers must be the same) </td> <td> PLAY 122&nbsp;<br /> 122, 212, or 221 WINS </td> <td> 1 in 333 </td> <td> $80 </td> <td> $160 </td> </tr> <tr> <td> 6-WAY BOX&nbsp;<br /> any order, 6 ways to win&nbsp;<br /> (Each number must be unique) </td> <td> PLAY 123&nbsp;<br /> 123, 132, 213, 231, 312, or 321 WINS </td> <td> 1 in 167 </td> <td> $40 </td> <td> $80 </td> </tr> <tr> <td> 3-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 Straight and $0.50 Box, 3 ways to win&nbsp;<br /> (Two numbers must be the same) </td> <td> PLAY 122&nbsp;<br /> 122 WINS $330 212 or 221 wins $80 </td> <td> 1 in 1,000&nbsp;<br /> (Straight and Box)&nbsp;<br /> 1 in 500&nbsp;<br /> (Box only) </td> <td> No $0.50 play </td> <td> $330&nbsp;<br /> (Straight and Box)&nbsp;<br /> OR $80&nbsp;<br /> (Box only) </td> </tr> <tr> <td> 6-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 Straight and $0.50 Box, 6 ways to win&nbsp;<br /> (Each number must be unique) </td> <td> PLAY 123&nbsp;<br /> 123 WINS $290&nbsp;<br /> 132, 213, 231, 312 or 321 WINS $40 </td> <td> 1 in 1,000&nbsp;<br /> (Straight and Box)&nbsp;<br /> 1 in 200&nbsp;<br /> (Box only) </td> <td> No $0.50 play </td> <td> $290&nbsp;<br /> (Straight and Box)&nbsp;<br /> OR $40&nbsp;<br /> (Box only) </td> </tr> <tr> <td> 3-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 3 ways to win&nbsp;<br /> (Two numbers must be the same) </td> <td> PLAY 122&nbsp;<br /> 122, 212, or 221 WINS </td> <td> 1 in 333 </td> <td> $250 </td> <td> $500 </td> </tr> <tr> <td> 6-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 6 ways to win&nbsp;<br /> (Each number must be unique) </td> <td> PLAY 123&nbsp;<br /> 123, 132, 213, 231, 312, or 321 WINS </td> <td> 1 in 167 </td> <td> $250 </td> <td> $500 </td> </tr> </tbody> </table>",F,"3","3-Digits",ARB,F,F,,,"1$",upto 14 consecutive draws,"Mon-Sat, 4 minutes before draw time"
307,Cash 3 Evening,Arkansas-Cash 3 Evening,"6:59 PM",US/Central,"07:59 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,"1in 1,000",F,F,http://myarkansaslottery.com/cash-3,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> WAYS TO PLAY </th> <th> EXAMPLES </th> <th> ODDS OF WINNING </th> <th> WIN FOR $0.50 PLAY </th> <th> WIN FOR $1.00 PLAY </th> </tr> </thead> <tbody> <tr> <td> STRAIGHT<br /> exact order </td> <td> PLAY 123&nbsp;<br /> 123 WINS </td> <td> 1 in 1,000 </td> <td> $250 </td> <td> $500 </td> </tr> <tr> <td> 3-WAY BOX&nbsp;<br /> any order, 3 ways to win&nbsp;<br /> (Two numbers must be the same) </td> <td> PLAY 122&nbsp;<br /> 122, 212, or 221 WINS </td> <td> 1 in 333 </td> <td> $80 </td> <td> $160 </td> </tr> <tr> <td> 6-WAY BOX&nbsp;<br /> any order, 6 ways to win&nbsp;<br /> (Each number must be unique) </td> <td> PLAY 123&nbsp;<br /> 123, 132, 213, 231, 312, or 321 WINS </td> <td> 1 in 167 </td> <td> $40 </td> <td> $80 </td> </tr> <tr> <td> 3-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 Straight and $0.50 Box, 3 ways to win&nbsp;<br /> (Two numbers must be the same) </td> <td> PLAY 122&nbsp;<br /> 122 WINS $330 212 or 221 wins $80 </td> <td> 1 in 1,000&nbsp;<br /> (Straight and Box)&nbsp;<br /> 1 in 500&nbsp;<br /> (Box only) </td> <td> No $0.50 play </td> <td> $330&nbsp;<br /> (Straight and Box)&nbsp;<br /> OR $80&nbsp;<br /> (Box only) </td> </tr> <tr> <td> 6-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 Straight and $0.50 Box, 6 ways to win&nbsp;<br /> (Each number must be unique) </td> <td> PLAY 123&nbsp;<br /> 123 WINS $290&nbsp;<br /> 132, 213, 231, 312 or 321 WINS $40 </td> <td> 1 in 1,000&nbsp;<br /> (Straight and Box)&nbsp;<br /> 1 in 200&nbsp;<br /> (Box only) </td> <td> No $0.50 play </td> <td> $290&nbsp;<br /> (Straight and Box)&nbsp;<br /> OR $40&nbsp;<br /> (Box only) </td> </tr> <tr> <td> 3-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 3 ways to win&nbsp;<br /> (Two numbers must be the same) </td> <td> PLAY 122&nbsp;<br /> 122, 212, or 221 WINS </td> <td> 1 in 333 </td> <td> $250 </td> <td> $500 </td> </tr> <tr> <td> 6-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 6 ways to win&nbsp;<br /> (Each number must be unique) </td> <td> PLAY 123&nbsp;<br /> 123, 132, 213, 231, 312, or 321 WINS </td> <td> 1 in 167 </td> <td> $250 </td> <td> $500 </td> </tr> </tbody> </table>",F,"3","3-Digits",ARA,F,F,,,"1$",upto 14 consecutive draws,"Mon-Sun, 4 minutes before draw time"
308,Cash 4 Midday,Arkansas-Cash 4 Midday,"12:59 PM",US/Central,"01:59 PM",Choose 4 digits from 0 to 9.,"4-Digits","$5,000","1 in 10,000",F,F,http://myarkansaslottery.com/cash-4,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> WAYS TO PLAY </th> <th> ODDS OF WINNING </th> <th> WIN FOR $0.50 PLAY </th> <th> WIN FOR $1.00 PLAY </th> </tr> <tr> </thead> <tbody> <td> STRAIGHT&nbsp;<br /> exact order </th> <td> 1 in 10,000 </td> <td> $2,500 </td> <td> $5,000 </td> </tr> <tr> <td> 4-WAY BOX&nbsp;<br /> any order, three numbers&nbsp;<br /> must be the same. Ex. 1112 </td> <td> 1 in 2,500 </td> <td> $600 </td> <td> $1,200 </td> </tr> <tr> <td> 6-WAY BOX&nbsp;<br /> any order, two pairs of numbers&nbsp;<br /> must be the same. Ex. 1122 </td> <td> 1 in 1,667 </td> <td> $400 </td> <td> $800 </td> </tr> <tr> <td> 12-WAY BOX&nbsp;<br /> any order, two numbers must&nbsp;<br /> be the same. Ex. 1123 </td> <td> 1 in 833 </td> <td> $200 </td> <td> $400 </td> </tr> <tr> <td> 24-WAY BOX&nbsp;<br /> any order, each number&nbsp;<br /> must be unique, Ex. 1234 </td> <td> 1 in 417 </td> <td> $100 </td> <td> $200 </td> </tr> <tr> <td> 4-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, three&nbsp;<br /> numbers must be the same, Ex. 1112 </td> <td> 1 in 2,500 </td> <td> No $0.50 Play </td> <td> $3,100&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $600 (Box Only) </td> </tr> <tr> <td> 6-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, two pairs of numbers must be the same, Ex. 1122 </td> <td> 1 in 1,667 </td> <td> No $0.50 Play </td> <td> $2,900&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $400 (Box Only) </td> </tr> <tr> <td> 12-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, two numbers must be the same, Ex. 1123 </td> <td> 1 in 833 </td> <td> No $0.50 Play </td> <td> $2,700&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $200 (Box Only) </td> </tr> <tr> <td> 24-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, each number must be unique, Ex. 1234 </td> <td> 1 in 417 </td> <td> No $0.50 Play </td> <td> $2,600&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $100 (Box Only) </td> </tr> <tr> <td> 4-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 4 ways to win, three numbers must be the same, Ex. 1112 </td> <td> 1 in 2,500 </td> <td> (Ticket Total Price $2)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $4)&nbsp;<br /> $5,000 </td> </tr> <tr> <td> 6-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 6 ways to win, two pairs of numbers must be the same, Ex. 1122 </td> <td> 1 in 1,667 </td> <td> (Ticket Total Price $3)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $6)&nbsp;<br /> $5,000 </td> </tr> <tr> <td> 12-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 12 ways to win, two numbers must be the same, Ex. 1123 </td> <td> 1 in 833 </td> <td> (Ticket Total Price $6)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $12)&nbsp;<br /> $5,000 </td> </tr> <tr> <td> 24-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 24 ways to win, each number must be unique, Ex. 1234 </td> <td> 1 in 417 </td> <td> (Ticket Total Price $12)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $24)&nbsp;<br /> $5,000 </td> </tr> </tbody> </table>",F,"4","4-Digits",ARD,F,F,,,"1$",upto 14 consecutive draws,"Mon-Sat, 4 minutes before draw time"
309,Cash 4 Evening,Arkansas-Cash 4 Evening,"6:59 PM",US/Central,"07:59 PM",Choose 4 digits from 0 to 9.,"4-Digits","$5,000","1 in 10,000",F,F,http://myarkansaslottery.com/cash-4,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> WAYS TO PLAY </th> <th> ODDS OF WINNING </th> <th> WIN FOR $0.50 PLAY </th> <th> WIN FOR $1.00 PLAY </th> </tr> <tr> </thead> <tbody> <td> STRAIGHT&nbsp;<br /> exact order </th> <td> 1 in 10,000 </td> <td> $2,500 </td> <td> $5,000 </td> </tr> <tr> <td> 4-WAY BOX&nbsp;<br /> any order, three numbers&nbsp;<br /> must be the same. Ex. 1112 </td> <td> 1 in 2,500 </td> <td> $600 </td> <td> $1,200 </td> </tr> <tr> <td> 6-WAY BOX&nbsp;<br /> any order, two pairs of numbers&nbsp;<br /> must be the same. Ex. 1122 </td> <td> 1 in 1,667 </td> <td> $400 </td> <td> $800 </td> </tr> <tr> <td> 12-WAY BOX&nbsp;<br /> any order, two numbers must&nbsp;<br /> be the same. Ex. 1123 </td> <td> 1 in 833 </td> <td> $200 </td> <td> $400 </td> </tr> <tr> <td> 24-WAY BOX&nbsp;<br /> any order, each number&nbsp;<br /> must be unique, Ex. 1234 </td> <td> 1 in 417 </td> <td> $100 </td> <td> $200 </td> </tr> <tr> <td> 4-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, three&nbsp;<br /> numbers must be the same, Ex. 1112 </td> <td> 1 in 2,500 </td> <td> No $0.50 Play </td> <td> $3,100&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $600 (Box Only) </td> </tr> <tr> <td> 6-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, two pairs of numbers must be the same, Ex. 1122 </td> <td> 1 in 1,667 </td> <td> No $0.50 Play </td> <td> $2,900&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $400 (Box Only) </td> </tr> <tr> <td> 12-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, two numbers must be the same, Ex. 1123 </td> <td> 1 in 833 </td> <td> No $0.50 Play </td> <td> $2,700&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $200 (Box Only) </td> </tr> <tr> <td> 24-WAY STRAIGHT/BOX&nbsp;<br /> $0.50 straight and $0.50 box, each number must be unique, Ex. 1234 </td> <td> 1 in 417 </td> <td> No $0.50 Play </td> <td> $2,600&nbsp;<br /> (Straight and Box)&nbsp;<br /> or $100 (Box Only) </td> </tr> <tr> <td> 4-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 4 ways to win, three numbers must be the same, Ex. 1112 </td> <td> 1 in 2,500 </td> <td> (Ticket Total Price $2)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $4)&nbsp;<br /> $5,000 </td> </tr> <tr> <td> 6-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 6 ways to win, two pairs of numbers must be the same, Ex. 1122 </td> <td> 1 in 1,667 </td> <td> (Ticket Total Price $3)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $6)&nbsp;<br /> $5,000 </td> </tr> <tr> <td> 12-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 12 ways to win, two numbers must be the same, Ex. 1123 </td> <td> 1 in 833 </td> <td> (Ticket Total Price $6)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $12)&nbsp;<br /> $5,000 </td> </tr> <tr> <td> 24-WAY COMBO PLAY&nbsp;<br /> Straight play for each of 24 ways to win, each number must be unique, Ex. 1234 </td> <td> 1 in 417 </td> <td> (Ticket Total Price $12)&nbsp;<br /> $2,500 </td> <td> (Ticket Total Price $24)&nbsp;<br /> $5,000 </td> </tr> </tbody> </table>",F,"4","4-Digits",ARC,F,F,,,"1$",upto 14 consecutive draws,"Mon-Sun, 4 minutes before draw time"
310,Natural State Jackpot,Arkansas-Natural State Jackpot,"8:00 PM",US/Central,"09:00 PM",select 5 numbers from 1 to 39.,"5/39",,"1 in 575,757",T,F,http://myarkansaslottery.com/games/natural-state-jackpot,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""> <th> Matching Numbers </th> <th> Natural State JackPot Prizes </th> <th> Game Odds </th> </tr> </thead> <tbody> <tr> <td> Match all Five numbers </td> <td> *JACKPOT </td> <td> 1 in 575,757 </td> </tr> <tr> <td> Match Four numbers </td> <td> $300 </td> <td> 1 in 3,387 </td> </tr> <tr> <td> Match Three numbers </td> <td> $7 </td> <td> 1 in 103 </td> </tr> <tr> <td> Match Two numbers </td> <td> $1 </td> <td> 1 in 10 </td> </tr> </tbody> </table>",F,"5","5/39",AR1,T,T,,,"1$",upto 20 consecutive draws,"Mon-Sat, 1 minutes before draw time"
